subject,condition,explore,slope,score,explore50
A100VV1V2XDQI7,Control,0.237374,1.21406,0.71717,0.2500
A11NPNK8885N99,Control,0.126904,0.22182,0.74112,0.1064
A13U02TNYRFNOI,Control,0.117347,0.24285,0.67347,0.1277
A16KIS81ZPTTKL,Control,0.239796,-0.02837,0.53571,0.1277
A1BUDY54SND73M,Control,0.267677,0.29204,0.65152,0.1163
A1CGUFW3R6M234,Control,0.212121,1.49807,0.70202,0.1304
A1CM82XIS84MT5,Control,0.269036,3.17308,0.66497,0.2708
A1EDGCFMMXQ6Y,Control,0.136842,0.31985,0.74737,0.2083
A1F63RK1PMJS5Y,Control,0.206186,0.53591,0.7268,0.2292
A1FUQIDCR4U4QQ,Control,0.168367,0.25757,0.68878,0.2553
A1G94QON7A9K0N,Control,0.238579,0.6259,0.74619,0.1000
A1KQGF9L042R9I,Control,0.121212,0.26047,0.81313,0.1250
A1M5R7IYPKXPEI,Control,0.186869,1.25607,0.66667,0.1364
A1NXHA2741IJEA,Control,0.208122,0.91227,0.70558,0.1304
A1P8M5BKOTAA8I,Control,0.248731,0.54658,0.70558,0.2553
A1WJ9DBGFY21MQ,Control,0.157609,0.09238,0.66848,0.1042
A213OUMF0EHT0T,Control,0.379487,0.57674,0.63077,0.2083
A25ROS9CH7PSFZ,Control,0.176768,0.80953,0.77273,0.2708
A26CQZGNV3GJXS,Control,0.203046,0.76741,0.62944,0.3958
A27BYJNS3NGWCR,Control,0.036842,-0.00226,0.5,0.2128
A2C7VUFGB8WGCG,Control,0.220513,1.20663,0.76923,0.2979
A2G7N0X0PNX0EE,Control,0.2,1.31239,0.75263,0.1667
A2HBWO2P8Z6ZN3,Control,0.172589,0.7545,0.7868,0.2083
A2HQHBR7Z4AI56,Control,0.118557,0.51865,0.57216,0.2766
A2LCFORIW0NF1S,Control,0.227513,0.39821,0.66667,0.0882
A2RB4WF5CDMEL9,Control,0.217172,1.07388,0.67172,0.3778
A2TZJKKUN0LSHY,Control,0.19171,0.13779,0.69948,0.1163
A2VLGTBAQB3C62,Control,0.117347,0.15335,0.65306,0.1667
A36LOA6VLJU157,Control,0.061538,-0.00827,0.79487,0.1489
A36WH6B6VR9DIF,Control,0.280612,0.63699,0.66837,0.0750
A372F1FDPWXBY3,Control,0.161616,0.54713,0.68687,0.2000
A3F0NFNLOLFJT0,Control,0.181818,0.75155,0.63636,0.1750
A3FLH9JVIQJWM2,Control,0.158163,0.93423,0.65306,0.1875
