nr,household_id,purchase,tpnb,product_id,uniqueness_id,brand_id,brand_subgroup_id,quantity,spend,discount,coupon,contents_quantity,tesco_week,shopdatetime,home_shopping_flg,Store_Number
1,23561,1,64196758,63,28,2,6,1,3,0,0,592,200922,1564590086,0,3373
1,23561,2,64196758,63,28,2,6,1,3,0,0,592,200922,1564590087,0,3373
1,23561,3,64196758,63,28,2,6,1,3,0,0,592,200922,1564590088,0,3373
1,23561,4,64196612,18,10,1,4,1,3,0,0,592,200922,1564590089,0,3373
1,23561,5,64556612,29,15,3,5,1,3,0,0,592,200922,1564590090,0,3373
1,23561,6,64196612,18,10,1,4,1,3,0,0,592,200922,1564590091,0,3373
1,23561,7,64196612,18,10,1,4,1,3,0,0,592,200922,1564590092,0,3373
1,23561,8,64196612,18,10,1,4,1,3,0,0,592,200922,1564590093,0,3373
1,23561,9,64196758,63,28,2,6,1,3,0,0,592,200922,1564590094,0,3373
1,23561,10,64196758,63,28,2,6,1,3,0,0,592,200922,1564590095,0,3373
1,23561,11,64556612,29,15,3,5,1,3,0,0,592,200922,1564590096,0,3373
1,23561,12,64196758,63,28,2,6,1,3,0,0,592,200923,1564590097,0,3373
1,23561,13,64196758,63,28,2,6,1,3,0,0,592,200923,1564590098,0,3373
1,23561,14,64556612,29,15,3,5,1,3,0,0,592,200923,1564590099,0,3373
1,23561,15,64196758,63,28,2,6,1,3,0,0,592,200923,1564590100,0,3373
1,23561,16,64196758,63,28,2,6,1,3,0,0,592,200923,1564590101,0,3373
1,23561,17,64196758,63,28,2,6,1,3,0,0,592,200923,1564590102,0,3373
1,23561,18,64196612,18,10,1,4,1,3,0,0,592,200923,1564590103,0,3373
1,23561,19,78786612,54,20,4,17,1,3,0,0,592,200923,1564590104,0,3373
1,23561,20,78786612,54,20,4,17,1,3,0,0,592,200923,1564590105,0,3373
1,23561,21,64196612,18,10,1,4,1,3,0,0,592,200923,1564590106,0,3373
1,23561,22,64196612,18,10,1,4,1,3,0,0,592,200923,1564590107,0,3373
1,23561,23,48756677,19,15,5,55,1,3,0,0,592,200923,1564590108,0,3373
1,23561,24,78786612,54,20,4,17,1,3,0,0,592,200923,1564590109,0,3373
1,23561,25,78786612,54,20,4,17,1,3,0,0,592,200923,1564590110,0,3373
1,23561,26,78786612,54,20,4,17,1,3,0,0,592,200923,1564590111,0,3373
1,23561,27,78786612,54,20,4,17,1,3,0,0,592,200923,1564590112,0,3373
1,23561,28,78786612,54,20,4,17,1,3,0,0,592,200923,1564590113,0,3373
1,23561,29,78786612,54,20,4,17,1,3,0,0,592,200924,1564590114,0,3373
1,23561,30,78786612,54,20,4,17,1,3,0,0,592,200924,1564590115,0,3373
1,23561,31,64196612,18,10,1,4,1,3,0,0,592,200924,1564590116,0,3373
1,23561,32,78786612,54,20,4,17,1,3,0,0,592,200924,1564590117,0,3373
1,23561,33,78786612,54,20,4,17,1,3,0,0,592,200924,1564590118,0,3373
1,23561,34,78786612,54,20,4,17,1,3,0,0,592,200924,1564590119,0,3373
1,23561,35,78786612,54,20,4,17,1,3,0,0,592,200924,1564590120,0,3373
1,23561,36,78786612,54,20,4,17,1,3,0,0,592,200924,1564590121,0,3373
1,23561,37,78786612,54,20,4,17,1,3,0,0,592,200924,1564590122,0,3373
1,23561,38,78786612,54,20,4,17,1,3,0,0,592,200924,1564590123,0,3373
1,23561,39,78786612,54,20,4,17,1,3,0,0,592,200924,1564590124,0,3373
1,23561,40,64196612,18,10,1,4,1,3,0,0,592,200924,1564590125,0,3373
2,222222,1,64196758,63,28,2,6,1,3,0,0,592,200922,1564590086,0,3373
2,222222,2,64196758,63,28,2,6,1,3,0,0,592,200922,1564590087,0,3373
2,222222,3,64196758,63,28,2,6,1,3,0,0,592,200922,1564590088,0,3373
2,222222,4,64196612,18,10,1,4,1,3,0,0,592,200922,1564590089,0,3373
2,222222,5,64556612,29,15,3,5,1,3,0,0,592,200922,1564590090,0,3373
2,222222,6,64196612,18,10,1,4,1,3,0,0,592,200922,1564590091,0,3373
2,222222,7,64196612,18,10,1,4,1,3,0,0,592,200922,1564590092,0,3373
2,222222,8,64196612,18,10,1,4,1,3,0,0,592,200922,1564590093,0,3373
2,222222,9,64196758,63,28,2,6,1,3,0,0,592,200922,1564590094,0,3373
2,222222,10,64196758,63,28,2,6,1,3,0,0,592,200922,1564590095,0,3373
2,222222,11,64556612,29,15,3,5,1,3,0,0,592,200922,1564590096,0,3373
2,222222,12,64196758,63,28,2,6,1,3,0,0,592,200923,1564590097,0,3373
2,222222,13,64196758,63,28,2,6,1,3,0,0,592,200923,1564590098,0,3373
2,222222,14,64556612,29,15,3,5,1,3,0,0,592,200923,1564590099,0,3373
2,222222,15,64196758,63,28,2,6,1,3,0,0,592,200923,1564590100,0,3373
2,222222,16,64196758,63,28,2,6,1,3,0,0,592,200923,1564590101,0,3373
2,222222,17,64196758,63,28,2,6,1,3,0,0,592,200923,1564590102,0,3373
2,222222,18,64196612,18,10,1,4,1,3,0,0,592,200923,1564590103,0,3373
2,222222,19,78786612,54,20,4,17,1,3,0,0,592,200923,1564590104,0,3373
2,222222,20,78786612,54,20,4,17,1,3,0,0,592,200923,1564590105,0,3373
2,222222,21,64196612,18,10,1,4,1,3,0,0,592,200923,1564590106,0,3373
2,222222,22,64196612,18,10,1,4,1,3,0,0,592,200923,1564590107,0,3373
2,222222,23,48756677,19,15,5,55,1,3,0,0,592,200923,1564590108,0,3373
2,222222,24,78786612,54,20,4,17,1,3,0,0,592,200923,1564590109,0,3373
2,222222,25,78786612,54,20,4,17,1,3,0,0,592,200923,1564590110,0,3373
2,222222,26,78786612,54,20,4,17,1,3,0,0,592,200923,1564590111,0,3373
2,222222,27,78786612,54,20,4,17,1,3,0,0,592,200923,1564590112,0,3373
2,222222,28,78786612,54,20,4,17,1,3,0,0,592,200923,1564590113,0,3373
2,222222,29,78786612,54,20,4,17,1,3,0,0,592,200924,1564590114,0,3373
2,222222,30,78786612,54,20,4,17,1,3,0,0,592,200924,1564590115,0,3373
2,222222,31,64196612,18,10,1,4,1,3,0,0,592,200924,1564590116,0,3373
2,222222,32,78786612,54,20,4,17,1,3,0,0,592,200924,1564590117,0,3373
2,222222,33,78786612,54,20,4,17,1,3,0,0,592,200924,1564590118,0,3373
2,222222,34,78786612,54,20,4,17,1,3,0,0,592,200924,1564590119,0,3373
2,222222,35,78786612,54,20,4,17,1,3,0,0,592,200924,1564590120,0,3373
2,222222,36,78786612,54,20,4,17,1,3,0,0,592,200924,1564590121,0,3373
2,222222,37,78786612,54,20,4,17,1,3,0,0,592,200924,1564590122,0,3373
2,222222,38,78786612,54,20,4,17,1,3,0,0,592,200924,1564590123,0,3373
2,222222,39,78786612,54,20,4,17,1,3,0,0,592,200924,1564590124,0,3373
2,222222,40,64196612,18,10,1,4,1,3,0,0,592,200924,1564590125,0,3373
3,333333,1,64196758,63,28,2,6,1,3,0,0,592,200922,1564590086,0,3373
3,333333,2,64196758,63,28,2,6,1,3,0,0,592,200922,1564590087,0,3373
3,333333,3,64196758,63,28,2,6,1,3,0,0,592,200922,1564590088,0,3373
3,333333,4,64196612,18,10,1,4,1,3,0,0,592,200922,1564590089,0,3373
3,333333,5,64556612,29,15,3,5,1,3,0,0,592,200922,1564590090,0,3373
3,333333,6,64196612,18,10,1,4,1,3,0,0,592,200922,1564590091,0,3373
3,333333,7,64196612,18,10,1,4,1,3,0,0,592,200922,1564590092,0,3373
3,333333,8,64196612,18,10,1,4,1,3,0,0,592,200922,1564590093,0,3373
3,333333,9,64196758,63,28,2,6,1,3,0,0,592,200922,1564590094,0,3373
3,333333,10,64196758,63,28,2,6,1,3,0,0,592,200922,1564590095,0,3373
3,333333,11,64556612,29,15,3,5,1,3,0,0,592,200922,1564590096,0,3373
3,333333,12,64196758,63,28,2,6,1,3,0,0,592,200923,1564590097,0,3373
3,333333,13,64196758,63,28,2,6,1,3,0,0,592,200923,1564590098,0,3373
3,333333,14,64556612,29,15,3,5,1,3,0,0,592,200923,1564590099,0,3373
3,333333,15,64196758,63,28,2,6,1,3,0,0,592,200923,1564590100,0,3373
3,333333,16,64196758,63,28,2,6,1,3,0,0,592,200923,1564590101,0,3373
3,333333,17,64196758,63,28,2,6,1,3,0,0,592,200923,1564590102,0,3373
3,333333,18,64196612,18,10,1,4,1,3,0,0,592,200923,1564590103,0,3373
3,333333,19,78786612,54,20,4,17,1,3,0,0,592,200923,1564590104,0,3373
3,333333,20,78786612,54,20,4,17,1,3,0,0,592,200923,1564590105,0,3373
3,333333,21,64196612,18,10,1,4,1,3,0,0,592,200923,1564590106,0,3373
3,333333,22,64196612,18,10,1,4,1,3,0,0,592,200923,1564590107,0,3373
3,333333,23,48756677,19,15,5,55,1,3,0,0,592,200923,1564590108,0,3373
3,333333,24,78786612,54,20,4,17,1,3,0,0,592,200923,1564590109,0,3373
3,333333,25,78786612,54,20,4,17,1,3,0,0,592,200923,1564590110,0,3373
3,333333,26,78786612,54,20,4,17,1,3,0,0,592,200923,1564590111,0,3373
3,333333,27,78786612,54,20,4,17,1,3,0,0,592,200923,1564590112,0,3373
3,333333,28,78786612,54,20,4,17,1,3,0,0,592,200923,1564590113,0,3373
3,333333,29,78786612,54,20,4,17,1,3,0,0,592,200924,1564590114,0,3373
3,333333,30,78786612,54,20,4,17,1,3,0,0,592,200924,1564590115,0,3373
3,333333,31,64196612,18,10,1,4,1,3,0,0,592,200924,1564590116,0,3373
3,333333,32,78786612,54,20,4,17,1,3,0,0,592,200924,1564590117,0,3373
3,333333,33,78786612,54,20,4,17,1,3,0,0,592,200924,1564590118,0,3373
3,333333,34,78786612,54,20,4,17,1,3,0,0,592,200924,1564590119,0,3373
3,333333,35,78786612,54,20,4,17,1,3,0,0,592,200924,1564590120,0,3373
3,333333,36,78786612,54,20,4,17,1,3,0,0,592,200924,1564590121,0,3373
3,333333,37,78786612,54,20,4,17,1,3,0,0,592,200924,1564590122,0,3373
3,333333,38,78786612,54,20,4,17,1,3,0,0,592,200924,1564590123,0,3373
3,333333,39,78786612,54,20,4,17,1,3,0,0,592,200924,1564590124,0,3373
3,333333,40,64196612,18,10,1,4,1,3,0,0,592,200924,1564590125,0,3373
4,444444,1,64196758,63,28,2,6,1,3,0,0,592,200922,1564590086,0,3373
4,444444,2,64196758,63,28,2,6,1,3,0,0,592,200922,1564590087,0,3373
4,444444,3,64196758,63,28,2,6,1,3,0,0,592,200922,1564590088,0,3373
4,444444,4,64196612,18,10,1,4,1,3,0,0,592,200922,1564590089,0,3373
4,444444,5,64556612,29,15,3,5,1,3,0,0,592,200922,1564590090,0,3373
4,444444,6,64196612,18,10,1,4,1,3,0,0,592,200922,1564590091,0,3373
4,444444,7,64196612,18,10,1,4,1,3,0,0,592,200922,1564590092,0,3373
4,444444,8,64196612,18,10,1,4,1,3,0,0,592,200922,1564590093,0,3373
4,444444,9,64196758,63,28,2,6,1,3,0,0,592,200922,1564590094,0,3373
4,444444,10,64196758,63,28,2,6,1,3,0,0,592,200922,1564590095,0,3373
4,444444,11,64556612,29,15,3,5,1,3,0,0,592,200922,1564590096,0,3373
4,444444,12,64196758,63,28,2,6,1,3,0,0,592,200923,1564590097,0,3373
4,444444,13,64196758,63,28,2,6,1,3,0,0,592,200923,1564590098,0,3373
4,444444,14,64556612,29,15,3,5,1,3,0,0,592,200923,1564590099,0,3373
4,444444,15,64196758,63,28,2,6,1,3,0,0,592,200923,1564590100,0,3373
4,444444,16,64196758,63,28,2,6,1,3,0,0,592,200923,1564590101,0,3373
4,444444,17,64196758,63,28,2,6,1,3,0,0,592,200923,1564590102,0,3373
4,444444,18,64196612,18,10,1,4,1,3,0,0,592,200923,1564590103,0,3373
4,444444,19,78786612,54,20,4,17,1,3,0,0,592,200923,1564590104,0,3373
4,444444,20,78786612,54,20,4,17,1,3,0,0,592,200923,1564590105,0,3373
4,444444,21,64196612,18,10,1,4,1,3,0,0,592,200923,1564590106,0,3373
4,444444,22,64196612,18,10,1,4,1,3,0,0,592,200923,1564590107,0,3373
4,444444,23,48756677,19,15,5,55,1,3,0,0,592,200923,1564590108,0,3373
4,444444,24,78786612,54,20,4,17,1,3,0,0,592,200923,1564590109,0,3373
4,444444,25,78786612,54,20,4,17,1,3,0,0,592,200923,1564590110,0,3373
